subjID	group	trial	x	y	solid_y	empty_y	points	rt
1	B	1.0	0.0152207	0.064687976	0.23862225	0.182943725	100.0	0.8651
1	B	2.0	0.00152207	-0.029680365	-0.196219796	-0.150435177	200.0	0.8668
1	B	3.0	0.0	0.047945205	-0.10793455	-0.082749822	300.0	1.0673
1	B	4.0	-0.00456621	0.061643836	-0.091188719	-0.069911351	400.0	1.3352
1	B	5.0	-0.00456621	-0.069254186	0.079706014	0.061107944	200.0	2.956
1	B	6.0	0.01369863	0.113394216	-0.051522592	-0.039500654	0.0	2.0703
1	B	7.0	-0.00152207	-0.006849315	0.145378259	0.111456665	100.0	0.8665
1	B	8.0	0.0	0.022070015	0.191686155	0.146959385	200.0	0.7644
1	B	9.0	-0.00608828	-0.054033486	0.097168422	0.07449579	300.0	1.2674
1	B	10.0	-0.00608828	-0.009893455	0.145723119	0.111721058	400.0	1.3849
1	B	11.0	-0.00152207	0.046423135	0.216970401	0.166343974	500.0	0.9344
1	B	12.0	-0.00152207	0.020547945	-0.140760851	-0.107916652	600.0	0.5329
1	B	13.0	-0.00304414	-0.029680365	-0.213532724	-0.163708422	700.0	0.7838
1	B	14.0	-0.00304414	-0.069254186	0.079569665	0.06100341	500.0	2.3525
1	B	15.0	-0.00761035	-0.026636225	0.053637625	0.041122179	300.0	1.4175
1	B	16.0	0.00913242	0.040334855	-0.122106149	-0.093614714	400.0	1.2692
1	B	17.0	0.00456621	0.029680365	0.216646861	0.166095927	500.0	1.0344
1	B	18.0	-0.01065449	-0.099695586	0.051028067	0.039121518	600.0	1.4519
1	B	19.0	0.00152207	0.002283105	0.036428784	0.027928735	400.0	0.1811
1	B	20.0	0.00913242	0.069254186	0.249562358	0.191331141	500.0	0.8675
1	B	21.0	-0.01369863	-0.136225266	0.006598458	0.005058818	300.0	1.4023
1	B	22.0	0.00608828	0.081430746	0.266417966	0.204253774	400.0	0.8856
1	B	23.0	-0.00456621	-0.000761035	0.153424066	0.117625117	500.0	0.5484
1	B	24.0	-0.00152207	0.043378995	0.209087657	0.160300537	600.0	0.934
1	B	25.0	0.00304414	0.060121766	0.229599771	0.176026491	700.0	0.8837
1	B	26.0	-0.01217656	-0.095129376	0.066815666	0.051225344	800.0	1.9711
1	B	27.0	0.00152207	-0.111872146	0.0481868	0.036943213	900.0	2.0207
1	B	28.0	-0.01217656	-0.101217656	-0.283850772	-0.217618925	1000.0	0.9529
1	B	29.0	-0.00304414	-0.002283105	-0.16188809	-0.124114202	1100.0	0.5838
1	B	30.0	0.00304414	0.050989346	-0.10328285	-0.079183518	1200.0	1.636
1	B	31.0	-0.00152207	0.009893455	0.159948092	0.122626871	1300.0	0.9343
1	B	32.0	-0.00304414	-0.114916286	0.040617121	0.031139793	1400.0	1.0509
1	B	33.0	0.00456621	-0.070776256	0.086009929	0.065940945	1500.0	1.2186
1	B	34.0	0.00913242	-0.069254186	-0.243966491	-0.187040977	1600.0	0.8643
1	B	35.0	0.00913242	-0.069254186	0.087835352	0.067340437	1700.0	0.6661
1	B	36.0	0.0	0.107305936	-0.050989906	-0.039092261	1800.0	1.9705
1	B	37.0	0.00456621	-0.012937595	0.140714083	0.107880797	1900.0	0.9659
1	B	38.0	0.00304414	0.067732116	0.240191654	0.184146935	2000.0	0.8681
1	B	39.0	-0.0152207	0.148401826	-0.005813918	-0.004457337	2100.0	1.9551
1	B	40.0	0.0	-0.096651446	0.052816578	0.04049271	1900.0	1.3845
1	B	41.0	-0.00608828	0.046423135	-0.11149444	-0.085479071	2000.0	1.3508
1	B	42.0	0.00456621	-0.110350076	0.044844587	0.03438085	2100.0	1.519
1	B	43.0	-0.00304414	-0.069254186	-0.255143402	-0.195609941	2200.0	0.6834
1	B	44.0	0.00608828	0.078386606	0.260112724	0.199419755	2300.0	0.8156
1	B	45.0	0.00761035	0.085996956	0.266607566	0.204399134	2400.0	1.0507
1	B	46.0	-0.00152207	0.025114155	0.182133391	0.1396356	2500.0	0.7667
1	B	47.0	0.0	-0.093607306	0.061779685	0.047364425	2600.0	1.3513
1	B	48.0	-0.00456621	-0.046423135	-0.231235918	-0.177280871	2700.0	0.7159
1	B	49.0	-0.00608828	0.037290715	0.198316736	0.152042831	2800.0	0.8303
1	B	50.0	0.00304414	-0.151445967	-0.003590892	-0.002753017	2600.0	3.4409
1	B	51.0	0.00608828	-0.102739726	0.058783394	0.045067269	2700.0	1.4209
1	B	52.0	-0.01065449	-0.069254186	-0.254166158	-0.194860721	2800.0	0.8834
1	B	53.0	0.00304414	0.038812785	-0.11781037	-0.090321284	2900.0	1.2524
1	B	54.0	-0.00456621	0.089041096	-0.074978835	-0.057483774	3000.0	1.8873
1	B	55.0	0.00913242	0.130136986	-0.024897487	-0.019088074	3100.0	1.4524
1	B	56.0	-0.00761035	-0.096651446	-0.285488425	-0.21887446	3200.0	0.9677
1	B	57.0	-0.00456621	0.067732116	0.219566879	0.168334608	3300.0	0.8506
1	B	58.0	0.0	0.012937595	-0.151142737	-0.115876098	3400.0	0.9172
1	B	59.0	-0.00152207	-0.104261796	-0.294704141	-0.225939841	3500.0	0.867
1	B	60.0	0.00304414	-0.005327245	0.156991724	0.120360321	3600.0	0.7327
1	B	61.0	-0.00456621	-0.087519026	0.064877489	0.049739408	3700.0	1.6536
1	B	62.0	-0.00304414	0.028158295	0.198671548	0.152314854	3800.0	1.3354
1	B	63.0	-0.00456621	-0.058599696	-0.236352481	-0.181203568	3900.0	0.6986
1	B	64.0	0.00456621	0.078386606	0.240466758	0.184357848	4000.0	1.0173
1	B	65.0	0.00304414	0.127092846	-0.027376549	-0.020988688	4100.0	1.5861
1	B	66.0	0.00304414	0.025114155	0.183913288	0.141000187	4200.0	0.6489
1	B	67.0	0.00304414	-0.052511416	0.102249784	0.078391501	4300.0	1.534
1	B	68.0	-0.01217656	-0.139269406	0.00446	0.003419334	4100.0	2.0712
1	B	69.0	-0.00152207	-0.025114155	-0.202443467	-0.155206658	4200.0	0.7497
1	B	70.0	-0.00152207	-0.025114155	-0.217421914	-0.166690134	4300.0	0.7005
1	B	71.0	-0.00152207	-0.025114155	-0.207818663	-0.159327642	4400.0	0.4822
1	B	72.0	-0.00152207	0.073820396	-0.090785035	-0.06960186	4500.0	1.0839
1	B	73.0	-0.01065449	-0.124048706	0.024680177	0.018921469	4300.0	1.8537
1	B	74.0	0.0	0.137747336	-0.0133318	-0.010221047	4400.0	1.9378
1	B	75.0	0.0	-0.093607306	0.074451106	0.057079181	4500.0	1.4351
1	B	76.0	-0.00456621	-0.055555556	0.100676126	0.07718503	4600.0	0.7501
1	B	77.0	-0.00761035	-0.075342466	0.081890626	0.062782813	4700.0	1.1346
1	B	78.0	-0.00304414	0.082952816	-0.078806494	-0.060418312	4800.0	1.1348
1	B	79.0	0.00913242	-0.105783866	-0.290090129	-0.222402432	4900.0	1.2188
1	B	80.0	0.0	-0.116438356	0.04025425	0.030861592	5000.0	1.2683
