subjID	trial	x	y	solid_y	empty_y
0	0.0	-0.002040816	-0.012755102	-0.112533899	-0.086275989
0	1.0	0.019387755	-0.072959184	-0.235498541	-0.180548881
0	2.0	0.019387755	-0.16377551	-0.281462367	-0.215787815
0	3.0	0.019387755	-0.003571429	-0.129200157	-0.099053454
0	4.0	0.023469388	0.094387755	-0.021168436	-0.016229135
0	5.0	0.035714286	0.091326531	0.27099426	0.207762266
0	6.0	0.014285714	-0.070918367	-0.26063879	-0.199823072
0	7.0	0.014285714	-0.188265306	-0.072476336	-0.055565191
0	8.0	0.016326531	0.043367347	0.196314527	0.150507804
0	9.0	0.013265306	-0.067857143	-0.233361206	-0.178910258
0	10.0	0.024489796	-0.108673469	-0.266666478	-0.2044443
0	11.0	0.026530612	0.075	0.266817885	0.204560378
0	12.0	0.024489796	-0.046428571	0.110294387	0.08455903
0	13.0	0.026530612	-0.135204082	-0.011641596	-0.008925224
0	14.0	0.016326531	-0.192346939	-0.06957259	-0.053338986
0	15.0	0.002040816	-0.00255102	-0.163957948	-0.125701094
0	16.0	0.010204082	0.117857143	-0.013322185	-0.010213675
0	17.0	0.013265306	-0.099489796	-0.273229825	-0.209476199
0	18.0	0.031632653	-0.172959184	-0.037591469	-0.028820126
0	19.0	0.007142857	-0.003571429	0.143139983	0.109740653
0	20.0	0.002040816	-0.055612245	-0.175768398	-0.134755772
0	21.0	0.015306122	0.056632653	0.22181995	0.170061962
0	22.0	0.02244898	0.045408163	0.211037022	0.16179505
0	23.0	0.006122449	-0.04744898	-0.19834047	-0.152061027
0	24.0	-0.006122449	0.083163265	-0.053761981	-0.041217519
0	25.0	-0.016326531	-0.031122449	-0.057854293	-0.044354958
0	26.0	0.020408163	-0.020918367	0.138857753	0.106457611
0	27.0	0.016326531	0.039285714	0.1994922	0.15294402
0	28.0	0.01122449	0.043367347	0.203207539	0.155792447
0	29.0	0.026530612	-0.081122449	0.067966702	0.052107805
0	30.0	0.007142857	0.009693878	-0.142337403	-0.109125342
0	31.0	0.026530612	-0.096428571	0.04572357	0.035054737
0	32.0	0.013265306	-0.056632653	-0.227342421	-0.174295856
0	33.0	0.026530612	-0.021938776	0.136593784	0.104721901
0	34.0	0.02244898	-0.094387755	0.055300578	0.04239711
0	35.0	0.023469388	0.044387755	0.213865531	0.163963574
0	36.0	0.026530612	0.044387755	0.204986508	0.157156323
0	37.0	-0.002040816	0.057653061	-0.076610075	-0.058734391
0	38.0	0.018367347	-0.011734694	0.143727247	0.110190889
0	39.0	0.013265306	-0.04744898	-0.206223994	-0.158105062
0	0.0	0.035714286	-0.000510204	0.128530492	0.098540044
0	1.0	0.0	-0.079081633	-0.237832006	-0.182337872
0	2.0	0.026530612	-0.003571429	0.150536861	0.115411593
0	3.0	0.007142857	-0.061734694	0.073274111	0.056176818
0	4.0	0.019387755	-0.008673469	0.139922294	0.107273759
0	5.0	0.009183673	-0.085204082	-0.230875834	-0.177004806
0	6.0	0.028571429	-0.038265306	0.111447252	0.085442893
0	7.0	0.005102041	-0.094387755	0.045091832	0.034570405
0	8.0	0.01122449	0.065816327	-0.087800385	-0.067313629
0	9.0	0.020408163	-0.103571429	0.038874701	0.029803937
0	10.0	0.031632653	0.008673469	-0.126732183	-0.09716134
0	11.0	0.007142857	0.090306122	0.256977871	0.197016368
0	12.0	-0.021428571	0.130102041	0.000153667	0.000117811
0	13.0	0.003061224	-0.092346939	-0.246138602	-0.188706261
0	14.0	0.032653061	0.094387755	0.278171411	0.213264748
0	15.0	0.015306122	0.021938776	-0.111172738	-0.085232433
0	16.0	0.010204082	-0.127040816	-0.290044384	-0.222367361
0	17.0	0.013265306	0.091326531	-0.037790135	-0.028972437
0	18.0	0.018367347	0.003571429	0.163622343	0.125443796
0	19.0	0.005102041	-0.068877551	0.092930636	0.071246821
0	20.0	0.015306122	-0.073979592	-0.24587713	-0.1885058
0	21.0	0.020408163	-0.054591837	0.082900811	0.063557289
0	22.0	0.014285714	-0.030102041	-0.185972083	-0.142578597
0	23.0	0.015306122	-0.109693878	-0.271452002	-0.208113201
0	24.0	0.010204082	-0.029081633	-0.170436491	-0.130667976
0	25.0	0.002040816	0.062755102	-0.074608693	-0.057199998
0	26.0	0.013265306	0.003571429	-0.143946893	-0.110359285
0	27.0	0.020408163	0.032142857	-0.095991067	-0.073593151
0	28.0	0.016326531	-0.01377551	-0.164887224	-0.126413539
0	29.0	0.016326531	-0.067857143	-0.236696988	-0.181467691
